ser,win,tmoy,deth
B42,1982,-2.4066666666666636,-328.5133333333334
B42,1987,-3.746666666666664,-238.2933333333333
B42,1992,3.206666666666669,410.8066666666666
B42,1997,3.219999999999999,109.1000000000001
B42,2002,8.38666666666667,-116.85999999999994
B42,2007,7.606666666666664,-26.373333333333314
B42,2012,6.933333333333332,-124.88666666666668
B42,2017,13.566666666666668,482.52666666666664
B42,2022,22.5,1560.9
B43,1982,-2.6866666666666674,-169.70000000000002
B43,1987,-3.8333333333333344,-297.24666666666667
B43,1992,3.253333333333333,394.6066666666667
B43,1997,3.1066666666666665,132.56666666666678
B43,2002,8.873333333333335,-117.97999999999998
B43,2007,7.506666666666666,-131.54333333333324
B43,2012,7.046666666666664,5.946666666666715
B43,2017,13.35333333333333,711.42
B43,2022,22.13333333333334,1785.2166666666667
