"greco","ser","year","V","PV","GTOT","NT","mqd"
"F","F30",1992,96.4735995193867,3.91843238341219,16.0770126370538,745.180428705671,0.520687184317047
"F","F30",1997,142.000029246934,5.71508031985965,18.849280333801,566.36613133609,0.646701221744769
"F","F30",2002,126.658522739802,4.69339930587562,18.470175031871,706.155319514396,0.57331105998429
"F","F40",1982,48.4093876787509,1.82628403449015,10.4478346734111,756.464420861514,0.416604373293699
"F","F40",1987,54.1080169266178,1.70358670194825,12.6554638305384,806.616451771653,0.444028072049945
"F","F40",1992,62.9392513646114,2.06715113832067,13.4465581682878,778.513345017344,0.465883649347223
"F","F40",2002,66.6814511075194,1.84643960196369,13.4217584085299,760.187095229104,0.471030895762711
"F","F51",1987,108.253490632343,4.27424809545601,15.7156455153553,421.666715375771,0.68436278288723
"F","F51",1997,124.986550608415,3.9997830048417,18.2629627240908,381.43913402545,0.775671660290645
"F","F52",1987,135.455105113466,6.01152885079058,18.3608353852847,551.837601923926,0.646614598846521
"F","F52",1997,147.65661867331,6.11787592751964,20.5680351866941,529.655217655796,0.698561598582664
"F","F52",2002,170.746438549363,6.14682712645049,22.2359799600515,577.492723961332,0.695600380044569
"G","G11",1982,124.6147803807,5.60231877119268,18.7938352503782,891.352086844618,0.514740093307351
"G","G11",1992,150.832595619908,7.10137989970202,22.024151258262,854.713599165723,0.569041860393361
"G","G11",2002,132.018226033838,5.63437415624298,19.4562934453746,683.837262786084,0.597941373699268
"G","G12",1982,110.661132913739,5.0327193467653,17.7439548420832,895.191752995592,0.499082230643187
"G","G12",1987,136.538835790107,4.46683766990655,19.7437890034114,715.834935927626,0.58872670696472
"G","G12",1992,125.847615851095,4.93323490922444,19.8553326273337,798.261014102499,0.559076265821315
"G","G12",2002,158.566498404031,5.33144441861576,21.7434994056455,683.623509115762,0.632209704191918
"G","G13",1982,124.042821120599,5.71676225270225,18.8425800173317,841.654224129048,0.53040579752608
"G","G13",1987,145.299428629789,5.37178085059721,20.9572862445146,753.765255809034,0.591091068416574
"G","G13",1992,156.215787716084,7.07171722257956,22.7803959203443,758.757931787271,0.614234129243385
"G","G13",2002,170.806891263939,6.77811567648147,22.3784390840543,676.663189649267,0.64466419752352
"G","G21",1982,125.568381110682,5.79429568113909,18.4539310752771,697.745351293774,0.576502112803364
"G","G21",1987,160.716451019421,5.42852768187484,22.1528886348177,660.528167160526,0.649193918902593
"G","G21",1992,136.12545743492,7.54093288171674,20.8029779990984,764.773017261379,0.584657342933276
"G","G21",2002,160.295148986873,8.00905830920976,21.6214514913721,628.324369299466,0.657590306775521
"G","G22",1982,141.714019961501,5.5391198507565,20.1294203986708,722.082400502997,0.591871171432345
"G","G22",1987,180.36430180435,7.42483078899516,24.1499582786449,758.160089663184,0.632677900714809
"G","G22",1992,173.61483144496,6.53080924435396,25.1525582851832,811.73852322992,0.624004807336758
"G","G22",1997,135.489180518124,5.36291842418221,20.4157084554863,633.114491792784,0.63656980187677
"G","G22",2002,246.724799820185,8.9706938183906,29.6510489720994,791.714978632495,0.686025931703663
"G","G23",1982,117.488913739742,5.37590792067246,17.6516542109561,899.963353614716,0.496461099671976
