"greco","ser","year","V","PV","GTOT","NT","mqd","pvv"
"Centre nord","B51",1997,189.085521943115,6.68555356483423,21.5539723189386,674.806983452271,0.201664259272867,0.0353573002106716
"Centre nord","B52",1982,120.743160277586,4.90295835239144,17.0908086061952,862.389932916343,0.158849014786853,0.0406065100592005
"Centre nord","B52",1987,137.740900894077,5.75070019569926,18.3786831264051,849.353053493279,0.165984726846364,0.0417501276554128
"Centre nord","B52",1992,153.077056665681,5.11610636820074,19.5912393260428,745.001844079707,0.182981566153915,0.033421771228423
"Centre nord","B52",1997,150.348771209208,5.24014306241313,18.6987063502915,686.149619914994,0.18627365080734,0.0348532483522699
"Centre nord","B53",1982,94.6814965574976,3.72929048656271,15.6628442254423,823.92210129221,0.155577682277147,0.0393877433517118
"Centre nord","B53",1987,136.118751716685,4.9257285403303,17.8785435931067,773.148477197258,0.171589091882245,0.0361869946514248
"Centre nord","B53",1992,142.653768751931,4.64520635463853,19.581739886892,723.96729066085,0.185575750473817,0.0325628014967929
"Centre nord","B53",1997,178.273074138697,6.36933818790326,22.0770171568798,819.165895150249,0.185241942088401,0.0357279876317603
"Centre nord","B61",1982,120.790810920435,6.20107477096635,17.2450060096075,719.516261751862,0.174689349415415,0.0513373055757612
"Centre nord","B61",1987,104.808894712174,5.59961037464849,17.2175087934425,793.200852823798,0.166245014363002,0.0534268621954855
"Centre nord","B61",1997,141.088602499146,6.72517578893224,19.7685127901006,660.540086217862,0.19520568832837,0.0476663293122698
"Centre nord","B62",1982,139.260804637591,5.33307757649229,18.116207471153,833.809991165877,0.16632408953234,0.0382956108172071
"Centre nord","B62",1987,133.260454761218,5.6143408738885,18.5452507684577,828.419175317312,0.168828725895423,0.0421305846805681
"Centre nord","B62",1997,150.823444577291,5.59858760877544,20.3274390051098,717.308231736497,0.189951831448264,0.037120141530161
"Centre nord","B70",1982,111.779400360742,4.79286491242714,16.1429395402779,753.16845718959,0.165196296873975,0.0428778907111622
"Centre nord","B70",1987,113.796133922276,5.38813743030463,16.0715538857766,687.399966971258,0.172535807282955,0.0473490376569804
"Centre nord","B70",1992,128.345291631024,4.61432631068111,17.8998881844676,669.092805818808,0.184559769110888,0.0359524393301992
"Centre nord","B70",1997,125.70342337441,5.3193215899489,17.1735016502195,593.305575972329,0.191975263532694,0.0423164417257373
"Centre nord","B81",1982,73.1334797890772,4.63103382111123,12.9993321560887,813.061970316678,0.142676929908432,0.0633230339164429
"Centre nord","B81",1987,134.175260930043,6.40900906181353,19.0179111847779,890.05827671641,0.164940476630318,0.0477659519153466
"Centre nord","B81",1997,107.905702685252,4.77163177917301,16.6411409276883,645.911887712016,0.181117314360279,0.0442203855813933
"Centre nord","B82",1987,113.03159560517,4.98518059158143,17.4198248734861,846.589037533256,0.161860408219419,0.0441043105238923
"Centre nord","B82",1997,116.780609853794,4.53169213614967,18.4886242411356,771.119470217518,0.174721569756496,0.0388051761488764
"Centre nord","B91",1987,154.322177553131,4.80018395560069,19.0870843897622,785.227694518619,0.175924794295701,0.031104952196181
"Centre nord","B91",1997,145.879066183346,4.78597652091524,19.6336307759039,745.144762617009,0.18316185886977,0.0328078362861197
"Centre nord","B91",2002,243.22856532335,5.35062823883087,25.6846920601034,646.548245406305,0.22490119974322,0.0219983546411076
"Centre nord","B92",1982,114.349626486975,4.68247505170043,16.8708605132929,882.380942332571,0.156025512166736,0.0409487568569698
"Centre nord","B92",1987,122.688055253608,4.99281849654979,17.2196594797511,724.841374866049,0.173918528031722,0.0406952289383767
