"greco","year","name","value"
"Alpes",2015,"alive + dead",0.022747904273604
"Alpes",2015,"alive + dead +
harvested",0.0222360026180437
"Alpes",2016,"alive",0.0256931291235724
"Alpes",2016,"alive + dead",0.0254180969143025
"Alpes",2016,"alive + dead +
harvested",0.0245879624150522
"Alpes",2017,"alive",0.0221670297369459
"Alpes",2017,"alive + dead",0.0220684030418689
"Alpes",2017,"alive + dead +
harvested",0.0223071106956659
"Alpes",2018,"alive",0.0215223248364786
"Alpes",2018,"alive + dead",0.021335234656998
"Alpes",2018,"alive + dead +
harvested",0.0213326455765075
"Alpes",2019,"alive",0.0240991074909945
"Alpes",2019,"alive + dead",0.023857143050465
"Alpes",2019,"alive + dead +
harvested",0.0237257838111741
"Alpes",2020,"alive",0.0223411874168624
"Alpes",2020,"alive + dead",0.0221683473564604
"Alpes",2020,"alive + dead +
harvested",0.0220833982731151
"Alpes",2021,"alive",0.0218432593057725
"Alpes",2021,"alive + dead",0.0220542597318127
"Alpes",2021,"alive + dead +
harvested",0.0218367351803709
"Alpes",2022,"alive",0.0197304137673099
"Alpes",2022,"alive + dead",0.0195562942423819
"Alpes",2022,"alive + dead +
harvested",0.0192976457175937
"Alpes",2023,"alive",0.0214182263576057
"Alpes",2023,"alive + dead",0.0210961487035502
"Alpes",2023,"alive + dead +
harvested",0.0215338685147791
"Pyrénées",2015,"alive",0.0228908266327219
"Pyrénées",2015,"alive + dead",0.0232521550148214
"Pyrénées",2015,"alive + dead +
harvested",0.0240326184708967
"Pyrénées",2016,"alive",0.0256632058035265
"Pyrénées",2016,"alive + dead",0.0257835355013697
"Pyrénées",2016,"alive + dead +
harvested",0.0250608992561782
"Pyrénées",2017,"alive",0.0239797372886325
"Pyrénées",2017,"alive + dead",0.024551925006368
"Pyrénées",2017,"alive + dead +
harvested",0.0254349656639247
"Pyrénées",2018,"alive",0.0267631059821965
"Pyrénées",2018,"alive + dead",0.0265376412968258
"Pyrénées",2018,"alive + dead +
harvested",0.0260711315124019
"Pyrénées",2019,"alive",0.0252937608066658
"Pyrénées",2019,"alive + dead",0.0256726305352224
"Pyrénées",2019,"alive + dead +
harvested",0.0259641346862227
"Pyrénées",2020,"alive",0.0239061822317489
"Pyrénées",2020,"alive + dead",0.0241836272390169
"Pyrénées",2020,"alive + dead +
harvested",0.0241567303236527
"Pyrénées",2021,"alive",0.0266990728902262
"Pyrénées",2021,"alive + dead",0.0265753294290519
"Pyrénées",2021,"alive + dead +
harvested",0.0265102573716654
"Pyrénées",2022,"alive",0.0224286203306305
"Pyrénées",2022,"alive + dead",0.0226526191795531
"Pyrénées",2022,"alive + dead +
harvested",0.0235335121965294
"Pyrénées",2023,"alive",0.023067539221258
"Pyrénées",2023,"alive + dead",0.0229411821201052
"Pyrénées",2023,"alive + dead +
harvested",0.0232280276081946
"Méditerranée",2015,"alive",0.0312368537333023
"Méditerranée",2015,"alive + dead",0.0313053377230516
"Méditerranée",2015,"alive + dead +
harvested",0.0330598407902812
"Méditerranée",2016,"alive",0.0284034038367087
"Méditerranée",2016,"alive + dead",0.0277507854585467
"Méditerranée",2016,"alive + dead +
harvested",0.0276732587798909
"Méditerranée",2017,"alive",0.0270176232485847
"Méditerranée",2017,"alive + dead",0.0274983596226548
"Méditerranée",2017,"alive + dead +
harvested",0.0274681524865455
"Méditerranée",2018,"alive",0.0279635850815119
"Méditerranée",2018,"alive + dead",0.0288724782970501
"Méditerranée",2018,"alive + dead +
harvested",0.0280550817863762
"Méditerranée",2019,"alive",0.0283701888877813
"Méditerranée",2019,"alive + dead",0.0284767663573354
"Méditerranée",2019,"alive + dead +
harvested",0.0296582257695165
"Méditerranée",2020,"alive",0.0282204926493573
"Méditerranée",2020,"alive + dead",0.0293780173292916
"Méditerranée",2020,"alive + dead +
harvested",0.0288881555303471
"Méditerranée",2021,"alive",0.0257218195065145
"Méditerranée",2021,"alive + dead",0.0255777885399375
"Méditerranée",2021,"alive + dead +
harvested",0.0263928463061782
"Méditerranée",2022,"alive",0.0245962742134143
"Méditerranée",2022,"alive + dead",0.024971557443301
"Méditerranée",2022,"alive + dead +
harvested",0.0254749790945495
"Méditerranée",2023,"alive",0.0240916151330553
"Méditerranée",2023,"alive + dead",0.0244021648739156
"Méditerranée",2023,"alive + dead +
harvested",0.0238971509957152
"Corse",2015,"alive",0.0215615646588771
"Corse",2015,"alive + dead",0.0223416972028585
"Corse",2015,"alive + dead +
harvested",0.0230333183879396
"Corse",2016,"alive",0.022274017345517
"Corse",2016,"alive + dead",0.0217248484369325
"Corse",2016,"alive + dead +
harvested",0.0206957115150102
